Keyboard Config|键盘设置
Restore to Default|恢复默认设置
Press the button you wish to map.|请按下想要使用的键
Confirm|确定
Map to this button?|确定使用此键吗？
Restore all settings to defaults?|全部恢复为默认设置吗？
Function Key Setting|功能键设置
Menu Shortcuts|菜单快捷键设置
Chat Shortcuts|聊天快捷键设置
Keyboard Controls|使用键盘操作
Mouse Controls|使用鼠标操作
OFF|关闭
DRAG|拖曳
HOLD|悬停
Config of Movement|移动按键设置
Config of Action Palette|动作按键设置
Setting improper item|不可更改按键
Pad Button Config|手柄设置
Move Forward|前进
Move Backward|后退
Move Left|左转
Move Right|右转
Lock Move Forward|自动跑步开/关
Lock Walk Forward|自动行走开/关
Decide|确定
Cancel|取消
Menu Open/Close|菜单开/关
Start|开始
Select Up|菜单上
Select Down|菜单下
Select Left|菜单左
Select Right|菜单右
Chat Digital Up|聊天数字上
Chat Digital Down|聊天数字下
Chat Digital Left|聊天数字左
Chat Digital Right|聊天数字右
Chat Analog Up|聊天模拟上
Chat Analog Down|聊天模拟下
Chat Analog Left|聊天模拟左
Chat Analog Right|聊天模拟右
Action Palette Left|动作操作面板左
Action Palette Middle|动作操作面板中
Action Palette Right|动作操作面板右
Action Palette Top|动作操作面板上
Action Palette Change|切换动作操作面板
Camera|视角
Action Palette Front Left|动作操作面板左（前景）
Action Palette Front Middle|动作操作面板中（前景）
Action Palette Front Right|动作操作面板右（前景）
Action Palette Back Left|动作操作面板左（背景）
Action Palette Back Middle|动作操作面板中（背景）
Action Palette Back Right|动作操作面板右（背景）
Input Start|开启键盘输入
Symbol Chat Open|开启快速交谈
Shortcut Open|开启快捷键
Move Left/Right|移动左右
Move Forward/Backward|移动前后
Right Analog Left/Right|右模拟左右
Right Analog Forward/Backward|右模拟上下
Action Palette Middle / Decide|动作操作面板中/确认
Action Palette Right / \tc6<\tc7 Cancel \tc6>\tc7|动作操作面板右/取消
Action Palette Right / \tc6<\tc7 Detail \tc6>\tc7|动作操作面板右/详细表示
Action Palette Left / \tC6<\tC7 Detail \tC6>\tC7|动作操作面板左/详细表示
Action Palette Left / \tC6<\tC7 Cancel \tC6>\tC7|动作操作面板左/取消
Prev Page / Camera|前一页/视角
Next Page / Action Palette Change|下一页/切换动作操作面板
Menu Open / Menu Decide|开启菜单/确认菜单项目
May I overwrite custom setting?|用自定义设置覆盖此设置吗？
Please select default setting.|请选择要使用的设置
Please select item to change.|请选择要改变的项目
This item is not changable.|此项目无法改变
This button is impossible to set.|此按键无法设置
Setup interchanged.|设置已替换
Setup updated.|设置已更新
Default1|内置设置１
Default2|内置设置２
Default3|内置设置３
Default4|内置设置４
Custom|自定义
Return to default.|恢复默认设置
May I return the present setup to a default setup?|恢复成默认设置，可以吗？
Monomate|小ＨＰ回复液
Dimate|中ＨＰ回复液
Trimate|大ＨＰ回复液
Monofluid|小ＴＰ回复液
Difluid|中ＴＰ回复液
Trifluid|大ＴＰ回复液
Antidote|解毒剂
Antiparalysis|解痉剂
Sol Atomizer|魂之粉
Moon Atomizer|月之粉
Star Atomizer|星之粉
Telepipe|传送门
Trap Vision|陷阱探测器
Monogrinder|小打磨石
Digrinder|中打磨石
Trigrinder|大打磨石
Power Material|攻击力药
Mind Material|精神力药
Evade Material|回避力药
HP Material|ＨＰ药
TP Material|ＴＰ药
Def Material|防御力药
Hit Material|命中率药
Luck Material|运之药
Scape Doll|替身人偶
 disk|【光盘】
Cell of MAG 502|玛古细胞５０２
Cell of MAG 213|玛古细胞２１３
Parts of RoboChao|机械查欧的部件
Heart of Opa Opa|欧帕欧帕之心
Heart of Pian|皮安之心
Heart of Chao|查欧之心
Sorcerer's Right Arm|混沌法师的右手
S-beat's Arms|蓝机忍的双手
P-arm's Arms|合体怪的双手
Delsaber's Right Arm|剑魔的右手
Bringer's Right Arm|混沌骑士的右手
Delsaber's Left Arm|剑魔的左手
Book of KATANA1|四天之书【壹】
Book of KATANA2|四天之书【贰】
Book of KATANA3|四天之书【参】
S-red's Arms|红机忍的双手
Dragon's Claw|龙之爪
Hildebear's Head|狂暴巨猿的头
Hildeblue's Head|狂暴白猿的头
Parts of Baranz|机甲堡垒的零件
Belra's Right Arm|巨神像的右手
Millennium Photon Core|千年光子核心ＭＰＣ
Darkness Photon Sphere|黑暗光子水晶ＤＰＳ
Cladding of Manipulator III|机械臂外壳 III
Weapons Crystal Badge|ＷＥＡＰＯＮＳ水晶徽章
6th Anniversary Cell|6周年纪念细胞
Blueprint: Astral Dragon|蓝图：星界龙
Astral Essence|星界精华
Dr. Osto's Appreciation Badge|奥斯托博士的感谢徽章
Starlight Shard|星光碎片
Unused token 4|未使用 token 4
Valentine's Chocolate|情人节巧克力
4th Anniversary Orb|4周年纪念宝珠
Orb of Illusions|幻象之球
Cryo Warhead|低温弹头
Proof of Sonic Team|索尼克小队的证书
Unused token 5|未使用 token 5
Flower Bouquet|花束
Cake|蛋糕
Unused token 14|小饰物
Dr. Robotnik's Plan B|蛋头博士的B计划
Gi Gue's body|姬蜂后的腹部
Sinow Berill's Arms|森隐雷藏的双手
Grass Assassin's Arms|巨螳螂的双手
Booma's Right Arm|棕狂熊的右手
Gobooma's Right Arm|黄狂熊的右手
Gigobooma's Right Arm|红狂熊的右手
Gal Gryphon's Wing|加尔狮鹫的羽毛
Rappy's Wing|拉比的羽毛
Berill Photon|机忍光子
Parasitic gene "Flow"|侵蚀遗传因子「弗罗文」
Magic Stone "Iritista"|魔石「伊利提斯塔」
Blue-black stone|苍黑石
Syncesta|真空波石
Magic Water|魔神水
Parasitic cell Type D |Ｄ型寄生细胞
magic rock "Heart Key"|魔石「心键」
magic rock "Moola"|辉石「月晖」
Star Amplifier|星型增幅器
Book of HITOGATA|真瑚经书
Heart of Chu Chu|啾啾之心
Parts of EGG BLASTER|爆蛋枪的零件
Heart of Angel|天使之心
Heart of Devil|恶魔之心
Kit of Hamburger|汉堡包细胞
Panther's Spirit|猫尾细胞
Kit of MARK3|ＭＡＲＫ３组件
Kit of MASTER SYSTEM|ＭＡＳＴＥＲＳＹＳＴＥＭ组件
Kit of GENESIS|ＧＥＮＥＳＩＳ组件
Kit of SEGA SATURN|ＳＥＧＡＳＡＴＵＲＮ组件
Kit of DREAMCAST|ＤＲＥＡＭＣＡＳＴ组件
Amplifier of Resta|圣泉增幅器
Amplifier of Anti|状态增幅器
Amplifier of Shifta|强攻增幅器
Amplifier of Deband|强体增幅器
Amplifier of Foie|火球增幅器
Amplifier of Gifoie|火墙增幅器
Amplifier of Rafoie|炎狱增幅器
Amplifier of Barta|冻气增幅器
Amplifier of Gibarta|冰箭增幅器
Amplifier of Rabarta|极冰增幅器
Amplifier of Zonde|闪电增幅器
Amplifier of Gizonde|群雷增幅器
Amplifier of Razonde|雷爆增幅器
Amplifier of Red |初级增幅器
Amplifier of Blue|中级增幅器
Amplifier of Yellow|高级增幅器
Heart of KAPU KAPU|卡普卡普之心
AddSlot|扩展插槽
Photon Drop|光子微晶ＰＤ
Photon Sphere|光子结晶ＰＳ
Photon Crystal|光子水晶ＰＣ
Secret Ticket|秘密点券
Photon Booster|光子加速器
Present|礼物
Chocolate|巧克力
Candy|糖果
Unknown1|未知１
Photon Token|光子令牌ＰＴ
Phantasmal Crate|每日幻影箱
Legendary Item Crate|传奇物品箱
Rare Item Crate|稀有物品箱
Anniversary Crate|周年纪念箱
Valentines Crate|情人节礼盒
Infernal Stone|地狱之石
Bouquet|花束
Decoction|调和药
Christmas Present|圣诞节礼物
Easter Egg|复活节彩蛋
Jack-O'-Lantern|南瓜
DISK Vol.1 "Wedding March"|音乐ＣＤ「结婚进行曲」
DISK Vol.2 "Day Light"|音乐ＣＤ「Event」
DISK Vol.3 "Burning Rangers"|音乐ＣＤ「BurningANGEL」
DISK Vol.4 "Open Your Heart"|音乐ＣＤ「OpenYourHeart」
DISK Vol.5 "Live & Learn"|音乐ＣＤ「LiveandLearn」
DISK Vol.6 "NiGHTS"|音乐ＣＤ「DreamsDreams」
DISK Vol.7 "Ending Theme (Piano ver.)"|音乐ＣＤ「CanStillSeetheLight」
DISK Vol.8 "Heart to Heart"|音乐ＣＤ「HeartHeart」
DISK Vol.9 "Strange Blue"|音乐ＣＤ「StrangeBlue」
DISK Vol.10 "Reunion System"|音乐ＣＤ「ReunionSystem」
DISK Vol.11 "Pinnacles"|音乐ＣＤ「Pinnacles」
DISK Vol.12 "Fight inside the Spaceship"|音乐ＣＤ「宇宙船内の戦い」
Hunters Report|猎人报告书
Primal Photon Sphere|原始光子水晶ＰＰＳ
Hallowed Jack-O'-Lantern|万圣节南瓜灯
Core of Administrator|管理员核心
Unused token 9|未使用 token 9
Tablet|牌位
Dark Matter|暗物质
Dragon Scale|龙鳞
Heaven Striker Coat|天堂冲击的涂膜
Pioneer Parts|先驱者的部件
Amitie's Memo|艾米提的备忘录
Heart of Morolian|摩洛星人的心
Rappy's Beak|拉比鸟的嘴
Yahoo!'s engine|Ｙａｈｏｏ！细胞
D-Photon Core|Ｄ型因子核心
Liberta Kit|浮游炮零件
Ideya Cell|Ideya细胞
A New Friend|双猫细胞
Heart of Dark Chao|黑暗查欧之心
Pandora's Box|潘多拉的盒子
Dragon Tear|龙之泪
Unused token 10|未使用 token 10
Unused token 11|未使用 token 11
Unused token 12|未使用 token 12
Unused token 13|未使用 token 13
Photon Ticket|光子奖券
Cladding of Epsilon|厄普西隆的装甲
De Rol Le Shell|迪·洛尔·雷的壳
Ragol Life Essence|拉古奥尔生命精华
Magic Stone "Planem"|魔石「普兰」
Red Crystal|红色水晶
Blue Crystal|蓝色水晶
